date,title,energy
2026/1/02,[閒聊] 2026/01/02 盤後閒聊,56
2026/1/02,Re: [標的] [標的] 0052 討論,6
2026/1/02,[情報] 115年01月02日 三大法人買賣金額統計表,53
2026/1/02,[新聞] 記憶體大漲紅圖！華邦電、旺宏放量噴漲,31
2026/1/02,[公告] op983825 自刪標的文,6
2026/1/02,[新聞] 勞動基金114年1至11月賺9762億元　收益率,88
2026/1/02,[心得] 30歲的十年投資心得,99
2026/1/02,[心得] 28歲2025年報,2
2026/1/02,[心得] 投資建議記得只下單交易量大的標的,22
2026/1/02,[標的] 捷敏6525 多,9
2026/1/03,[新聞] 記憶體晶片飆漲 消費電子產品價格今年最,36
2026/1/03,[新聞] 快訊／美媒曝「川普下令空襲」！委內瑞拉,99
2026/1/03,[情報] 3135凌航 自結11月 EPS2.03,9
2026/1/03,[標的] 0052/2330二選一,40
2026/1/03,[新聞] 拒絕餐飲統戰4》台股餐飲卡好賺 利潤薪資,38
2026/1/03,[新聞] 美國對委內瑞拉發動攻擊　川普稱已逮獲馬,99
2026/1/03,[心得] 風口上的蜘蛛 奈米戶社畜2025年報,12
2026/1/03,[新聞] 1美元換140萬里亞爾！伊朗貨幣崩盤引爆民,46
2026/1/03,[新聞] 0050配息0.36元變1元！203萬存股族樂歪,10
2026/1/03,[心得] 2025美股年報,53
2026/1/03,[新聞] 委內瑞拉｜特朗普預告美國強勢介入委石油,25
2026/1/03,[新聞] 美國攻擊委內瑞拉將震撼油市？專家估下周,67
2026/1/03,Re: [標的] 2330 台積電 空方加碼,14
2026/1/03,[心得] 大叔空蛙年報,19
2026/1/03,[新聞] 快訊／委內瑞拉首都深夜「連傳爆炸巨響」,45
2026/1/03,Re: [請益] 0050 2330分批進場請益,17
2026/1/03,Re: [請益] 好公司股價下跌反而該開心這句話是對的嗎,24
2026/1/03,[情報] 00830國泰費城半導體 擬分配收益9元,58
2026/1/03,[新聞] TrendForce集邦諮詢：三星暫停產品線生,19
2026/1/03,[標的] 台積佔比越高，正二越能贏過台積？,15
2026/1/03,Re: [標的] 納指多,9
2026/1/03,[情報] 2026 記憶體價格第一報 漲,63
2026/1/03,[新聞] 新年開局不順 美債殖利率飆升至4個月高,56
2026/1/03,"[新聞] 無薪假微增至7,371人 金屬機電工業5,140",32
2026/1/03,[新聞] 美光升超10%ASML飆7% 晶片股2026開年強,31
2026/1/03,Re: [新聞] Google TPU發功！聯發科股價漲22％ 寫23,61
2026/1/03,[新聞] 全球電車新霸主！比亞迪2025年銷量,57
2026/1/03,[新聞] 群聯執行長潘健成看好營運 再加碼自家股,42
2026/1/03,[新聞] 台積電大進步！最新全球企業市值排名揭曉,99
2026/1/03,[心得] 奈米戶年報,2
2026/1/03,Re: [標的] 3260 威剛 多,13
2026/1/04,[新聞] 分析》美拿下委內瑞拉成石油霸主打擊「人,68
2026/1/04,[心得] 「小散戶年報心得(檢討)文」,76
2026/1/04,Re: [新聞] 再度暫停申購 元大美債20年又達募集上限,70
2026/1/04,[新聞] 萬科債務深不見底 分析：中國官方救不救,10
2026/1/04,[新聞] 台積電美國擴廠利潤嚴重縮水近8倍 無奈2大因素難為了,69
2026/1/04,"[新聞] 現在上車台積電不嫌晚 這家外資喊出2,400",56
2026/1/04,[請益] 投資策略請益與討論（00953B）,8
2026/1/04,[新聞] 台積電列入高盛亞太區首選買進清單，目,53
2026/1/04,[公告] 安摳村幾枝藍鳥 水桶,11
2026/1/04,[心得] 2025年報,54
2026/1/04,Re: [情報]  6282康舒 5月營收,2
2026/1/04,Re: [標的] 6707富基電通(威剛第二.低檔起漲) 多,17
2026/1/04,[新聞] 台積 ADR 市值躍全球第六大 收盤較台股現,48
2026/1/04,[心得] 2025 零股塔紀錄分享,10
2026/1/04,[標的] 1314中石化奈米多,19
